date,course,tees,rating,slope,par,duration,transport,score,fairways_hit,fairways,greens_in_reg,putts
5/24/2014,Golden Pheasant GC,White,67,116,72,4:22,Cart,99,6,14,1,35
5/29/2014,Tavistock CC,White,67.5,122,72,4:54,Cart,101,6,14,2,39
6/29/2014,Golden Pheasant GC,White,67,116,72,4:33,Cart,101,6,14,2,34
7/6/2014,Rancocas GC,White,68.7,126,71,4:31,Cart,96,6,14,2,34
8/11/2014,McCulloughs Emerald GL,White,67.8,119,71,,Cart,95,5,13,3,36
8/30/2014,Butter Brook GC,White,68.6,120,72,4:56,Cart,93,10,13,4,34
8/31/2014,Lyman Orchard GC (Player),White,68.9,129,71,5:27,Cart,91,6,13,5,36
10/8/2014,Balboa Park (18),White,68.9,124,72,3:16,Walk,97,4,14,3,33
2/22/2015,Admiral Baker South,White,68.2,116,72,3:58,Walk,102,7,15,4,32
3/8/2015,Chula Vista GC,White,70,121,73,5:09,Walk,103,4,14,3,38
3/27/2015,Torrey Pines South,White,73.1,133,72,5:31,Cart,97,8,14,3,34
3/28/2015,Coronado Municipal GC,White,70.1,117,72,5:02,Cart,92,4,14,3,36
4/19/2015,Balboa Park (18),White,68.9,124,72,4:43,Walk,90,4,14,6,35
5/1/2015,Torrey Pines North,White,70.8,125,72,4:37,Walk,91,5,14,5,36
7/5/2015,Torrey Pines North,White,70.8,125,72,4:36,Walk,100,2,14,2,39
7/12/2015,Torrey Pines North,White,70.8,125,72,4:13,Walk,93,7,14,4,34
7/26/2015,Torrey Pines South,White,73.1,133,72,4:43,Walk,100,4,14,1,36
8/7/2015,Crossings at Carlsbad,White,68.7,125,72,5:06,Cart,87,5,14,4,26
8/8/2015,Encinitas Ranch,White,68,119,72,4:49,Cart,95,7,14,4,34
8/26/2015,Balboa Park (18),White,68.9,124,72,4:16,Walk,90,10,14,3,31
9/6/2015,Balboa Park (18),White,68.9,124,72,3:47,Walk,92,9,14,4,36
9/19/2015,Red Tail GC,Gold,68.5,126,72,5:05,Cart,93,8,14,5,38
11/29/2015,Balboa Park (18),White,68.9,124,72,4:13,Walk,92,4,14,6,33
12/30/2015,Steele Canyon (Canyon/Ranch),White,70.9,133,71,5:13,Cart,93,6,13,4,37
1/3/2016,Industry Hills - Dwight Eisenhower,White,70.8,130,72,4:46,Cart,90,7,14,7,35
1/18/2016,Balboa Park (18),Blue,71.2,125,72,4:10,Cart,101,9,14,1,40
1/22/2016,Monarch Beach Golf Links,Gold,70,129,70,4:15,Cart,88,8,13,9,38
1/23/2016,Balboa Park (18),White,68.9,124,72,5:02,Cart,88,9,14,5,36
2/7/2016,Carlton Oaks Country Club,White,70.1,128,72,4:43,Cart,95,4,14,3,32
2/15/2016,Salt Creek,Silver,69.1,122,72,5:30,Cart,90,10,14,6,35
4/3/2016,Aviara Golf Club,White,70,129,72,5:07,Cart,104,6,14,3,35
4/9/2016,Riverwalk Golf Club (Presidio/Mission),White,69.7,122,72,4:37,Cart,92,8,14,4,36
4/15/2016,Balboa Park (18),Blue,71.2,125,72,4:29,Walk,91,8,14,1,26
4/17/2016,Vineyard At Escondido,White,69.1,122,70,5:02,Walk,84,6,14,6,30
